Symptom,Age Group,Medicine,Dosage
Psoriasis rash,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Psoriasis rash,1-3 years,Topical treatment ± oral if severe,Topical creams (hydrocortisone 1% for mild eczema) or antifungal creams as advised
Psoriasis rash,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Psoriasis rash,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Psoriasis rash,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Eczema itch,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Eczema itch,1-3 years,Topical treatment ± oral if severe,Topical creams (hydrocortisone 1% for mild eczema) or antifungal creams as advised
Eczema itch,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Eczema itch,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Eczema itch,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Acne,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Acne,1-3 years,Supportive skin care; refer if severe,Gentle cleansing; clinician if severe/unusual
Acne,3-6 years,Supportive skin care; refer if severe,Gentle cleansing; clinician if severe/unusual
Acne,6-15 years,Topical benzoyl peroxide ± clindamycin,BPO 2.5-5% once daily; add clindamycin if inflammatory per clinician
Acne,Above 15 years,Topical benzoyl peroxide ± retinoid,BPO 2.5-5% once daily; add adapalene/retinoid per clinician
Hair loss,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Hair loss,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Hair loss,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Hair loss,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Hair loss,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Dandruff,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Dandruff,1-3 years,Gentle shampoo; clinician if severe,Use gentle baby shampoo; avoid irritants
Dandruff,3-6 years,Gentle shampoo; clinician if severe,Use mild shampoo; avoid irritants
Dandruff,6-15 years,Antifungal shampoo (ketoconazole 2%) twice weekly,Use ketoconazole 2% shampoo twice weekly for 2-4 weeks
Dandruff,Above 15 years,Antifungal shampoo (ketoconazole 2%) twice weekly,Use ketoconazole 2% shampoo twice weekly for 2-4 weeks
Eye infection,Below 1 year,Saline eye drops / supportive care,Saline drops 1-2 drops as needed; refer to pediatrician for antibiotic drops if infected
Eye infection,1-3 years,Topical antibiotic drops (per clinician),Moxifloxacin or ofloxacin drops if bacterial conjunctivitis per clinician
Eye infection,3-6 years,Topical antibiotic drops (per clinician),Moxifloxacin or ofloxacin drops if bacterial conjunctivitis per clinician
Eye infection,6-15 years,Topical antibiotic drops (per clinician),Moxifloxacin or ofloxacin drops if bacterial conjunctivitis per clinician
Eye infection,Above 15 years,Topical antibiotic drops (per clinician),Moxifloxacin or ofloxacin drops if bacterial conjunctivitis per clinician
Ear infection,Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Ear infection,1-3 years,Amoxicillin syrup + Paracetamol,Amoxicillin 20-40 mg/kg/day divided + Paracetamol 120 mg every 4-6 hrs
Ear infection,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Ear infection,6-15 years,Amoxicillin or Azithromycin + Paracetamol,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Ear infection,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Nail infection,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Nail infection,1-3 years,Topical antifungal (per clinician),Clotrimazole 1% cream/solution per clinician; nail care
Nail infection,3-6 years,Topical antifungal (per clinician),Clotrimazole 1% cream/solution per clinician; nail care
Nail infection,6-15 years,Topical antifungal (per clinician),Clotrimazole 1% or amorolfine lacquer per clinician; nail care
Nail infection,Above 15 years,Topical/oral antifungal (per clinician),Topical agents or oral terbinafine/itraconazole if indicated per clinician
Food poisoning,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Food poisoning,1-3 years,ORS + Zinc syrup,ORS small frequent volumes; Zinc 10-20 mg daily for 10-14 days if recommended
Food poisoning,3-6 years,ORS + Zinc syrup + Probiotic,ORS volumes per clinician; Zinc 10-20 mg daily; Probiotic once daily
Food poisoning,6-15 years,ORS + Zinc + Antiemetic if needed,ORS as required; Zinc 20 mg daily; Ondansetron 2-4 mg if severe vomiting (per clinician)
Food poisoning,Above 15 years,ORS + Antidiarrheal ± Antibiotic if invasive,ORS as needed; Loperamide only if non-invasive diarrhea in adults; antibiotics if indicated
Heat stroke,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Heat stroke,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Heat stroke,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Heat stroke,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Heat stroke,Above 15 years,Refer to specialist; symptomatic meds as per cardiology/neurology,Specialist-directed regimens
Sunburn,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Sunburn,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Sunburn,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Sunburn,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Sunburn,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Allergic dermatitis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Allergic dermatitis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Allergic dermatitis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Allergic dermatitis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Allergic dermatitis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Angina pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Angina pain,1-3 years,Refer to cardiology; urgent evaluation if severe chest pain,Emergency evaluation if acute/severe; dosing per cardiology
Angina pain,3-6 years,Refer to cardiology; urgent evaluation if severe chest pain,Emergency evaluation if acute/severe; dosing per cardiology
Angina pain,6-15 years,Refer to cardiology; symptomatic management,Specialist-led dosing
Angina pain,Above 15 years,Refer to specialist; symptomatic meds as per cardiology/neurology,Specialist-directed regimens
Heart failure fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Heart failure fatigue,1-3 years,Refer to cardiology; specialist management,Emergency evaluation if acute/severe; dosing per cardiology
Heart failure fatigue,3-6 years,Refer to cardiology; specialist management,Emergency evaluation if acute/severe; dosing per cardiology
Heart failure fatigue,6-15 years,Refer to cardiology; symptomatic management,Specialist-led dosing
Heart failure fatigue,Above 15 years,Refer to specialist; symptomatic meds as per cardiology/neurology,Specialist-directed regimens
Arrhythmia palpitation,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Arrhythmia palpitation,1-3 years,Refer to cardiology; specialist management,Emergency evaluation if acute/severe; dosing per cardiology
Arrhythmia palpitation,3-6 years,Refer to cardiology; specialist management,Emergency evaluation if acute/severe; dosing per cardiology
Arrhythmia palpitation,6-15 years,Refer to cardiology; symptomatic management,Specialist-led dosing
Arrhythmia palpitation,Above 15 years,Refer to specialist; symptomatic meds as per cardiology/neurology,Specialist-directed regimens
